25	50	70	1.98
25	50	80	1.92
25	50	90	2.11
25	50	100	2.46
25	50	110	2.75
25	50	120	2.97
25	100	25	19.52
25	100	30	19.24
25	100	40	16.71
25	100	50	14.83
25	100	60	13.71
25	100	70	13.77
25	100	80	14.41
25	100	90	15.98
25	100	100	18.18
25	100	110	20.07
25	100	120	22.62
25	200	25	131.88
25	200	30	126.39
25	200	40	115.39
25	200	50	108.62
25	200	60	106.45
25	200	70	109.55
25	200	80	116.93
25	200	90	128.30
25	200	100	141.92
25	200	110	156.11
25	200	120	169.21
25	300	25	413.32
25	50	25	3.23
25	50	30	3.13
25	50	40	2.52
25	50	50	2.17
25	50	60	1.92
25	300	30	396.16
25	300	40	370.28
25	300	50	354.01
25	300	60	348.84
25	300	70	357.08
25	300	80	376.70
25	300	90	406.39
25	300	100	439.21
25	300	110	469.66
25	300	120	492.35
50	50	25	7.54
50	50	30	6.74
50	50	40	5.59
50	50	50	4.83
50	50	60	4.35
50	50	70	3.99
50	50	80	4.09
50	50	90	4.51
50	50	100	4.92
50	50	110	5.75
50	50	120	6.23
50	100	25	44.99
50	100	30	42.12
50	100	40	36.65
50	100	50	32.95
50	100	60	30.65
50	100	70	30.13
50	100	80	31.76
50	100	90	35.28
50	100	100	39.56
50	100	110	45.09
50	100	120	50.33
50	200	25	279.33
50	200	30	267.79
50	200	40	246.93
50	200	50	235.23
50	200	60	232.45
50	200	70	239.61
50	200	80	257.15
50	200	90	283.77
50	200	100	313.59
50	200	110	346.31
50	200	120	375.61
50	300	25	868.86
50	300	30	837.10
50	300	40	790.63
50	300	50	763.09
50	300	60	761.01
50	300	70	780.18
50	300	80	825.62
50	300	90	890.75
50	300	100	968.59
50	300	110	1033.15
50	300	120	1081.72
100	25	25	2.52
100	25	30	2.11
100	25	40	1.82
100	25	50	1.47
100	25	60	1.34
100	25	70	1.31
100	25	80	1.34
100	25	90	1.34
100	25	100	1.53
100	25	110	1.73
100	25	120	1.89
100	50	25	15.95
100	50	30	13.93
100	50	40	11.50
100	50	50	9.62
100	50	60	8.60
100	50	70	8.21
100	50	80	8.47
100	50	90	9.24
100	50	100	10.29
100	50	110	11.57
100	50	120	13.04
100	100	25	98.68
100	100	30	91.46
100	100	40	79.32
100	100	50	70.02
100	100	60	65.25
100	100	70	64.71
100	100	80	68.83
100	100	90	76.85
100	100	100	87.82
100	100	110	101.04
100	100	120	115.07
100	200	25	623.57
100	200	30	590.84
100	200	40	549.97
100	200	50	525.87
100	200	60	525.75
100	200	70	549.59
100	200	80	599.60
100	200	90	668.59
100	200	100	747.23
100	200	110	825.56
100	200	120	897.71
200	25	25	5.11
200	25	30	4.54
200	25	40	3.71
200	25	50	3.13
200	25	60	2.84
200	25	70	2.78
200	25	80	2.84
200	25	90	3.00
200	25	100	3.29
200	25	110	3.71
200	25	120	4.09
200	50	25	33.55
200	50	30	30.10
200	50	40	24.73
200	50	50	20.84
200	50	60	18.57
200	50	70	17.86
200	50	80	18.41
200	50	90	20.04
200	50	100	22.69
200	50	110	25.79
200	50	120	29.27
200	100	25	210.18
200	100	30	197.11
200	100	40	170.42
200	100	50	150.48
